tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,encoded_title,show_desc
Firefly,1,1,The Train Job,"Sep 20, 2002",8.5,4800,Mal has second thoughts after discovering that two boxes of Alliance goods his crew has been hired to steal are full of badly needed medical supplies headed for the mining town of Paradiso.,tt0303461,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them."
Firefly,1,2,Bushwhacked,"Sep 27, 2002",8.5,4500,"Serenity is pulled in by an Alliance cruiser while investigating a spaceship that was attacked by Reavers. Simon and River must hide to prevent capture, while something is wrong with the lone survivor of the attacked spaceship.",tt0303461,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them."
Firefly,1,3,Our Mrs. Reynolds,"Oct 4, 2002",9.0,5000,A woman claiming to be Mal's wife appears aboard Serenity.,tt0303461,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them."
Firefly,1,4,Jaynestown,"Oct 18, 2002",8.7,4700,"Mal and the crew of Serenity land to pick up some contraband In Canton, a township on Higgins' Moon, where labor is provided under servitude run by the local magistrate. Jayne had once robbed the boss with a partner but barely escaped by jettisoning from their getaway vehicle his partner (now waiting for revenge) and the money boxes (who have made him a legendary hero... Read all",tt0303461,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them."
Firefly,1,5,Out of Gas,"Oct 25, 2002",9.3,5700,"When Serenity's life support system fails, Mal orders the crew off the ship - but he stays behind.",tt0303461,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them."
Firefly,1,6,Shindig,"Nov 1, 2002",8.5,4300,"In order to secure a job transporting cargo off-planet for a client, Mal attends a social event where a dance with Inara leads to him being challenged to a swordfight in defense of her honor.",tt0303461,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them."
Firefly,1,7,Safe,"Nov 8, 2002",8.3,4100,"Mal must choose which crew members to save when one is gravely wounded and two others are kidnapped. Simon finds an uneasy haven in a remote village, but River's uncanny perceptions jeopardize the Tams' temporary safety.",tt0303461,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them."
Firefly,1,8,Ariel,"Nov 15, 2002",9.0,4500,Serenity travels to the core world Ariel and Simon comes up with a plan to steal drugs from the hospital.,tt0303461,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them."
Firefly,1,9,War Stories,"Dec 6, 2002",8.8,4300,Niska catches up with the Serenity crew.,tt0303461,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them."
Firefly,1,10,Objects in Space,"Dec 13, 2002",9.2,4900,"Serenity encounters a ruthlessly professional bounty hunter, Jubal Early, who will stop at nothing to retrieve River. But River, feeling unwelcome on the ship, takes a novel approach to escaping from the Alliance.",tt0303461,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them."
Firefly,1,11,Serenity,"Dec 20, 2002",8.9,5000,"Malcolm Reynolds is a veteran and the captain of Serenity. He and his crew are smuggling goods, but they need to pick up some passengers for extra money. However, not all the passengers are what they seem.",tt0303461,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them."
Firefly,1,12,Heart of Gold,"Aug 4, 2003",8.4,4000,A Companion-trained friend of Inara's who runs a brothel on a remote planet calls for help from Serenity when a local reveals his intentions to take the baby from a woman he impregnated.,tt0303461,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them."
Firefly,1,13,Trash,"Jul 21, 2003",8.8,4200,Saffron returns to offer the crew a mission but not everyone is willing to trust her again.,tt0303461,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them."
Firefly,1,14,The Message,"Jul 28, 2003",8.5,4100,"A dying request from an old army buddy turns treacherous for Mal, Zoë, and the rest of the crew.",tt0303461,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them."
