tv,season,episode_number,title,airdate,rating,total_votes,desc,encoded_title
The Mandalorian,1,1,Chapter 1: The Mandalorian,"Nov 12, 2019",8.7,29666,"A Mandalorian bounty hunter tracks a target for a well-paying, mysterious client.",tt8111088
The Mandalorian,1,2,Chapter 2: The Child,"Nov 15, 2019",8.6,26448,"Target in hand, the Mandalorian must now contend with scavengers.",tt8111088
The Mandalorian,1,3,Chapter 3: The Sin,"Nov 22, 2019",9.0,26407,The battered Mandalorian returns to his client for his reward.,tt8111088
The Mandalorian,1,4,Chapter 4: Sanctuary,"Nov 29, 2019",7.8,24677,The Mandalorian teams up with an ex-soldier to protect a farming village from raiders.,tt8111088
The Mandalorian,1,5,Chapter 5: The Gunslinger,"Dec 6, 2019",7.6,21762,"On a familiar desert planet, the Mandalorian helps a rookie bounty hunter who is in over his head.",tt8111088
The Mandalorian,1,6,Chapter 6: The Prisoner,"Dec 13, 2019",8.3,22844,The Mandalorian is part of a crew of mercenaries springing a convict from a prison ship.,tt8111088
The Mandalorian,1,7,Chapter 7: The Reckoning,"Dec 18, 2019",9.1,21904,An old contact extends an invitation for the Mandalorian to make peace with his enemies.,tt8111088
The Mandalorian,1,8,Chapter 8: Redemption,"Dec 27, 2019",9.3,24020,"The Mandalorian and his allies come to know their true enemy, who already knows much about them.",tt8111088
The Mandalorian,2,1,Chapter 9: The Marshal,"Oct 30, 2020",8.9,23975,The Mandalorian is drawn to the Outer Rim in search of others of his kind.,tt8111088
The Mandalorian,2,2,Chapter 10: The Passenger,"Nov 6, 2020",7.9,20522,The Mandalorian must ferry a passenger with precious cargo on a risky journey.,tt8111088
The Mandalorian,2,3,Chapter 11: The Heiress,"Nov 13, 2020",8.8,20369,The Mandalorian braves high seas and meets unexpected allies.,tt8111088
The Mandalorian,2,4,Chapter 12: The Siege,"Nov 20, 2020",8.4,18264,The Mandalorian rejoins old allies for a new mission.,tt8111088
The Mandalorian,2,5,Chapter 13: The Jedi,"Nov 27, 2020",9.4,28323,The Mandalorian travels to a world ruled by a ruthless magistrate who has made a powerful enemy.,tt8111088
The Mandalorian,2,6,Chapter 14: The Tragedy,"Dec 4, 2020",9.2,21436,The Mandalorian and Child travel to an ancient site.,tt8111088
The Mandalorian,2,7,Chapter 15: The Believer,"Dec 11, 2020",9.0,18684,"To move against the Empire, the Mandalorian needs the help of an old enemy.",tt8111088
The Mandalorian,2,8,Chapter 16: The Rescue,"Dec 18, 2020",9.8,51306,The Mandalorian and his allies attempt a daring rescue.,tt8111088
The Mandalorian,3,1,Episode #3.1,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt8111088
The Mandalorian,3,2,Episode #3.2,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt8111088
The Mandalorian,3,3,Episode #3.3,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt8111088
The Mandalorian,3,4,Episode #3.4,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt8111088
The Mandalorian,3,5,Episode #3.5,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt8111088
The Mandalorian,3,6,Episode #3.6,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt8111088
The Mandalorian,3,7,Episode #3.7,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt8111088
The Mandalorian,3,8,Episode #3.8,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt8111088
